Main Lines of Code,Logical Lines of Code,Number of committers,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of bugs
1,15,0,23,2,1300,0
23,264,0,97,2,1843,0
3,53,0,5,1,1843,0
3,40,1,27,2,1300,0
24,121,0,6,2,1300,0
1,38,0,45,2,1843,0
67,484,0,142,2,1300,0
28,189,0,10,2,1843,0
34,159,0,92,2,1843,0
6,65,0,21,2,1300,0
4,66,0,45,2,1300,0
10,138,0,72,2,1300,1
18,149,0,81,2,1843,0
1,19,0,22,2,1843,0
1,11,0,5,2,1300,0
1,15,0,14,2,1300,0
1,19,0,25,2,1300,0
58,325,0,20,2,1300,0
30,179,0,36,2,1300,0
28,198,0,24,2,1300,0
1,9,0,2,1,1843,0
1,6,0,3,2,1843,0
1,32,0,19,2,1843,0
12,70,0,35,2,1300,0
11,97,0,40,2,1300,0
14,121,0,46,2,1300,0
35,246,0,81,2,1300,0
2,49,0,5,2,1843,0
125,510,2,16,2,1300,0
108,446,2,9,2,1300,0
2,89,1,83,2,1300,0
4,92,1,32,2,1300,0
1,5,0,2,1,1300,0
1,26,0,20,2,1843,0
1,7,0,2,1,1300,0
1,7,0,2,1,1300,0
1,8,0,12,2,1300,0
1,4,0,6,2,1300,0
1,5,0,16,2,1300,0
1,28,0,16,2,1300,0
1,20,0,16,2,1843,0
1,10,0,4,2,1300,0
15,90,0,4,2,1300,0
1,11,0,2,2,1843,0
8,79,0,17,2,1843,0
76,457,1,172,2,1300,1
3,47,0,4,2,1300,0
4,52,0,4,2,1300,0
4,51,0,4,2,1300,0
3,46,0,4,2,1300,0
1,36,0,4,2,1300,0
1,36,0,4,2,1300,0
3,46,0,4,2,1300,0
1,36,0,4,2,1300,0
3,46,0,4,2,1300,0
27,132,0,50,2,1300,0
1,8,0,9,2,1300,0
3,23,0,19,2,1843,0
1,12,0,9,2,1300,0
198,904,1,290,2,1843,2
1,8,0,7,2,1300,0
1,7,0,8,2,1300,0
1,28,0,3,2,1843,0
1,31,0,23,2,1843,0
105,466,0,78,2,1300,0
3,22,0,16,2,1300,0
30,162,0,22,2,1300,0
2,28,0,17,2,1843,0
1,9,0,8,2,1843,0
1,7,0,6,2,1300,0
1,35,0,23,2,1843,0
50,274,0,39,2,1300,0
2,30,0,20,2,1300,0
12,57,0,28,2,1300,0
1,7,0,6,2,1300,0
1,10,0,8,2,1300,0
1,11,0,10,2,1300,0
1,7,0,9,2,1300,0
2,61,0,35,2,1300,0
2,18,0,15,2,1843,0
11,98,0,38,2,1300,0
14,59,0,25,2,1300,0
8,85,0,58,2,1300,0
1,12,0,5,2,1843,0
1,3,0,2,2,1843,0
71,379,0,34,2,1300,0
5,40,0,6,2,1843,0
1,5,0,2,2,1843,0
33,221,0,12,2,1300,0
8,75,0,11,2,1300,0
35,183,0,13,2,1300,0
1,20,0,5,2,1843,0
17,84,0,23,2,1300,0
96,463,0,35,2,1300,1
1,20,0,8,2,1843,1
3,23,0,2,1,1300,0
4,81,0,7,2,1843,0
4,23,0,5,1,1843,0
3,48,0,4,2,1300,0
3,18,0,4,2,1300,0
4,73,0,16,2,1843,0
1,9,0,5,2,1300,0
1,18,0,5,2,1843,0
39,205,0,51,2,1300,0
1,11,0,5,2,1300,0
21,109,1,24,2,1300,0
3,39,1,8,1,1300,0
1,3,0,6,2,1843,0
1,11,0,6,2,1843,0
1,13,0,44,2,1300,0
1,9,0,20,2,1300,0
1,9,0,7,2,1300,0
1,8,0,31,2,1300,0
4,33,0,22,2,1300,0
1,5,0,5,2,1843,0
1,8,0,18,2,1300,0
1,5,0,6,2,1843,0
3,45,0,16,2,1843,0
1,12,0,12,2,1843,0
25,155,0,48,2,1843,0
4,20,0,7,2,1300,0
7,142,1,16,2,1300,0
2,26,0,2,1,1300,0
3,93,0,7,2,1843,0
6,114,0,24,2,1300,0
1,5,0,3,2,1843,0
30,553,0,58,4,1843,0
1,3,0,11,2,1300,0
8,70,0,15,2,1300,0
3,58,0,9,2,1843,0
60,312,0,38,2,1843,0
4,77,0,9,2,1300,0
4,32,0,5,2,1843,0
2,20,0,7,2,1300,0
2,38,0,8,2,1300,0
23,144,0,24,2,1843,0
2,16,0,10,2,1843,0
1,12,0,3,1,1843,0
1,15,0,5,2,1843,0
7,30,0,9,1,1843,0
1,15,0,3,1,1843,0
7,30,0,9,1,1843,0
2,15,0,4,1,1843,0
3,21,0,9,2,1843,0
1,11,0,3,2,1843,0
1,11,0,3,2,1843,0
50,217,0,12,2,1300,0
584,2225,0,4735,1,4,0
1,14,0,4735,1,1,0
1049,4244,0,4735,1,5,0
28,158,0,4735,1,3,0
13,88,0,4735,1,2,0
18,88,0,4735,1,2,0
524,1705,0,4735,1,4,0
160,723,0,4735,1,3,0
4,38,0,4735,1,2,0
13,85,0,4735,1,2,0
7,62,0,4735,1,2,0
18,83,0,4735,1,2,0
1,11,0,4735,1,1,0
1,16,0,4735,1,2,0
306,810,0,4735,1,4,0
35,174,0,4735,1,2,0
171,695,0,4735,1,2,0
27,157,0,4735,1,3,0
571,1755,0,4735,1,3,0
149,694,0,4735,1,3,0
4,38,0,4735,1,2,0
165,575,0,4735,1,2,0
1,1,0,4735,1,4,0
112,490,0,4735,1,2,0
1,11,0,4735,1,2,0
1,16,0,4735,1,3,0
10,67,0,4735,1,2,0
1,10,0,4735,1,1,0
11,114,0,4735,1,4,0
19,152,0,4735,1,4,0
254,1346,0,4735,1,2,0
20,158,0,4735,1,2,0
1,60,1,1466,2,3,0
16,78,1,1466,1,2,0
1,9,1,1466,1,2,0
1,17,1,1466,1,2,0
1,12,1,1466,1,2,0
1,12,1,1466,1,2,0
1,14,1,1466,1,2,0
1,9,1,1466,1,2,0
1,4,1,1466,1,2,0
16,81,3,1466,3,7,1
66,336,1,1466,8,83,4
1,9,1,1466,3,7,0
1,15,1,31,3,6,0
1,5,1,1466,2,3,0
5,257,1,762,9,27,0
1,31,1,1466,3,6,0
1,44,1,1466,4,8,0
3,31,1,1466,2,4,0
1,15,1,1466,2,4,0
1,12,1,1466,2,4,0
1,24,1,1466,3,4,0
1,5,1,1466,2,3,0
1,19,2,1466,2,4,0
1,6,1,1466,2,3,0
1,7,1,1466,2,4,0
1,27,1,1466,3,5,0
1,10,1,1466,3,4,0
15,70,1,1466,2,4,0
1,12,1,1466,2,4,1
3,59,1,1466,4,9,1
2,20,1,1466,3,6,0
2,10,1,1466,3,3,0
9,39,1,1466,2,4,0
25,201,2,244,5,11,0
1,9,0,1466,1,1,0
1,10,0,1466,1,2,0
1,102,0,1,9,17,1
1,123,0,479,5,9,1
1,193,0,762,8,22,0
1,190,0,762,6,9,0
1,10,0,1466,2,2,1
20,112,1,762,3,6,0
1,17,0,230,1,1,0
1,5,0,230,1,1,0
1,48,1,474,3,8,0
7,51,0,1466,1,1,0
1,27,0,4735,4,7,2
52,455,2,244,5,14,1
1,5,0,4735,1,1,1
3,31,0,230,1,1,0
1,21,0,1466,2,2,0
38,237,0,1466,2,3,0
1,6,0,1466,1,2,0
1,4,0,4735,1,1,1
1,5,0,4735,1,4,1
124,940,0,1466,2,4,0
51,61,0,479,2,2,0
14,80,0,319,2,2,0
1,15,0,34,2,2,0
10,60,0,1466,1,3,1
1,72,0,4735,1,2,0
9,50,0,34,2,2,0
27,167,0,1466,1,1,0
14,62,0,1466,3,4,0
11,136,0,1466,1,1,0
194,876,0,31,8,14,0
15,130,1,91,3,12,0
2,32,0,1466,2,2,0
1,23,0,1466,2,2,0
1,8,0,1466,2,2,0
1,26,0,474,2,5,1
1,10,0,1466,1,1,0
2,30,0,4735,1,1,0
6,82,0,4735,3,3,1
1,15,0,1466,2,3,0
16,130,0,1466,2,4,0
43,198,0,319,2,7,3
2,20,0,4735,1,1,0
1,14,0,4735,1,1,0
49,228,0,4735,3,16,1
1,64,0,474,2,3,0
1,4,0,4735,1,1,0
19,181,0,811,3,10,0
1,9,0,4735,1,1,0
1,52,0,811,2,2,0
1,30,0,4735,1,1,0
1,5,0,4735,1,1,0
3,48,0,1466,2,3,0
1,15,0,4735,1,2,0
1,13,0,4735,1,1,0
16,63,1,91,2,2,0
1,16,0,4735,1,1,0
1,9,0,762,1,1,0
1,13,1,36,1,1,0
1,17,0,1466,1,1,0
1,17,0,1466,1,1,0
1,38,0,474,3,4,0
1,53,0,230,3,8,1
1,19,0,4735,1,3,0
25,133,0,474,3,5,0
24,293,1,244,6,27,0
1,17,0,1466,1,1,0
23,197,1,244,4,9,0
1,17,0,31,2,2,0
10,101,0,4735,1,2,0
1,58,0,4735,1,1,0
5,582,0,36,7,13,5
1,18,0,319,2,3,0
1,8,0,1466,2,2,0
117,735,5,762,5,30,8
40,313,1,1466,3,16,3
1,53,0,4735,1,2,0
2,35,0,4735,1,1,0
1,21,0,4735,1,3,0
89,431,9,811,9,21,4
2,36,0,4735,1,1,0
83,394,1,811,3,11,3
2,35,0,4735,1,1,0
1,29,0,319,1,1,0
39,317,0,319,2,3,1
1,17,0,319,1,2,0
2,15,0,319,1,1,0
1,11,0,319,1,1,0
2,39,0,319,1,1,0
10,36,0,319,1,1,0
1,12,0,319,1,1,0
1,16,0,319,1,1,0
1,12,0,319,1,1,0
3,48,0,244,2,2,0
2,25,0,1466,1,1,0
2,31,0,230,3,4,0
1,34,0,319,1,1,0
1,10,0,811,1,1,0
24,172,0,9,2,3,1
1,12,0,4735,1,1,0
1,4,0,4735,1,1,0
9,107,0,474,5,9,0
1,20,0,244,2,2,0
1,64,0,1466,1,1,0
1,16,0,4735,2,4,0
7,70,0,4735,2,2,0
8,103,0,1466,4,7,0
1,5,0,474,1,1,0
6,59,0,1466,1,1,0
22,234,1,474,4,7,0
1,73,0,246,3,5,0
1,6,0,4735,1,1,0
1,5,0,18,2,2,1
23,218,0,319,3,9,0
1,38,0,1466,5,6,1
1,41,0,762,2,5,1
1,12,0,762,2,2,0
1,46,0,230,7,10,0
89,733,4,762,8,33,4
16,103,0,4735,1,1,0
1,16,0,1466,2,2,0
1,15,0,319,1,1,0
1,13,0,319,1,1,0
4,97,0,319,1,1,0
57,452,1,31,3,6,3
1,15,0,319,1,1,0
1,11,0,319,1,1,0
2,16,0,319,1,1,0
17,187,1,31,2,4,0
1,15,0,319,1,1,0
1,10,0,319,1,1,0
11,116,0,319,1,2,0
121,836,1,31,3,8,5
5,29,0,319,1,2,0
25,84,0,762,2,2,0
71,561,5,4735,5,46,2
4,57,0,4735,1,2,0
10,148,0,4735,1,7,0
1,7,1,4735,1,2,0
1,3,0,4735,1,1,0
1,37,0,4735,1,1,0
1,23,0,4735,1,1,0
1,14,0,4735,1,1,0
9,75,0,31,3,5,0
1,21,0,4735,1,2,0
1,8,0,4735,1,1,0
1,50,0,4735,1,1,0
2,31,0,1466,2,4,0
6,60,0,4735,1,1,0
1,7,1,4735,1,2,0
6,58,0,4735,1,3,0
6,60,0,4735,1,1,0
1,7,0,4735,1,1,0
23,316,0,762,3,11,4
1,97,0,474,2,3,0
1,8,0,4735,1,1,0
35,221,0,4735,3,5,8
2,30,0,319,1,1,0
1,18,0,319,1,1,0
38,206,0,319,1,1,0
1,5,0,319,1,1,0
1,8,0,319,1,1,0
4,57,0,319,1,1,0
1,25,1,1466,3,4,0
7,91,3,1466,4,14,0
9,99,3,1466,4,15,0
2,39,1,319,4,7,1
76,270,0,230,1,1,2
4,67,0,4735,1,1,1
10,101,1,4735,3,9,1
6,57,2,1466,2,7,0
4,20,1,1466,2,2,0
1,1,0,4735,1,2,0
1,27,0,4735,2,4,0
7,55,0,762,3,5,0
27,194,1,244,5,8,0
18,210,1,1466,2,8,3
65,371,4,762,7,23,1
1,79,0,4735,3,5,0
7,70,0,811,2,4,0
7,65,0,762,3,6,0
3,40,0,811,2,4,0
48,275,3,244,7,19,5
81,498,4,230,7,35,2
1,18,0,11,2,2,0
4,147,1,1466,8,18,0
3,63,0,762,5,10,0
8,49,1,479,3,4,0
1,1,0,11,2,2,0
8,81,1,762,6,14,0
1,27,0,811,2,3,0
9,153,2,1466,8,24,2
1,18,0,11,2,2,0
6,124,1,244,4,10,1
1,57,0,811,3,7,0
1,54,0,230,3,7,0
1,1,0,4735,1,2,0
13,169,2,230,5,15,0
1,18,0,11,2,2,0
5,125,0,1466,6,14,0
3,87,0,762,4,7,0
9,61,0,762,3,6,0
13,106,0,762,4,12,0
5,64,0,762,3,5,0
1,1,0,4735,1,2,0
11,113,0,762,4,12,0
1,15,0,4735,1,3,0
3,72,0,762,5,10,0
3,67,0,762,4,9,0
3,122,0,1466,6,14,2
1,16,0,762,1,1,0
8,159,1,762,5,10,0
7,99,0,762,4,8,0
6,69,0,811,3,4,0
1,1,0,762,1,1,0
9,124,2,36,9,21,2
1,18,0,11,2,2,0
14,181,0,244,6,12,2
5,88,0,479,5,9,2
1,82,0,1466,3,8,0
1,18,0,11,2,2,0
6,66,0,811,2,3,0
69,351,2,1466,8,20,2
3,47,0,811,3,5,2
5,116,0,811,2,4,0
14,149,0,762,4,9,2
7,71,0,762,2,4,0
1,1,0,4735,1,2,0
6,81,0,1466,6,17,3
14,123,1,762,7,15,3
8,99,0,1466,6,18,2
1,18,0,11,2,2,0
40,397,3,244,8,26,3
1,145,0,1466,5,10,0
1,54,0,4735,4,8,0
1,1,0,4735,1,2,0
21,240,3,4735,7,26,0
1,19,0,11,2,2,0
28,390,3,762,7,18,0
1,116,1,34,6,9,0
1,1,0,4735,1,2,0
35,292,6,34,9,26,1
1,18,0,1466,2,2,0
92,317,0,1466,2,8,1
1,27,0,1466,2,3,0
7,115,0,1466,2,4,0
1,18,0,11,2,2,0
10,174,0,1466,5,21,0
4,147,0,1466,5,21,0
20,219,1,762,4,16,0
1,72,0,1466,2,6,2
12,140,0,1466,2,12,0
21,210,0,762,2,11,0
35,292,0,762,1,13,0
12,155,1,762,5,30,2
10,215,0,1466,3,6,0
1,18,0,762,1,1,0
5,47,0,1,2,3,0
1,23,0,762,1,1,0
1,26,0,762,1,1,1
1,18,0,4735,1,1,0
53,213,0,1466,4,19,1
5,33,0,762,3,6,1
8,122,1,1466,4,6,0
1,1,0,4735,1,2,0
1,9,0,4735,1,2,0
1,18,0,11,2,2,0
11,40,0,1466,2,3,0
9,53,1,1466,2,4,0
15,275,0,1466,5,17,2
4,469,0,36,12,28,1
16,182,0,89,5,10,1
1,18,0,11,2,2,0
4,76,0,811,3,8,0
1,43,0,811,3,6,0
14,55,0,1466,2,3,0
11,103,2,1466,2,8,0
14,146,0,1466,2,4,1
6,87,0,4735,3,5,0
16,111,0,762,5,11,1
7,81,0,1466,4,10,0
1,1,0,22,1,1,0
1,28,0,22,1,1,0
1,29,0,22,1,1,0
1,19,0,22,1,1,0
3,94,0,22,1,1,0
2,49,0,1466,3,3,0
2,46,1,474,2,2,0
10,131,1,1466,4,9,2
13,101,0,1466,2,4,0
8,76,0,31,3,6,0
15,68,0,4735,1,1,0
5,79,0,1466,3,6,0
10,44,0,762,1,1,0
16,103,0,1466,2,3,1
1,10,0,4735,1,2,0
1,11,0,4735,1,2,0
5,46,0,762,1,1,0
8,85,0,1466,5,9,0
6,30,1,4735,1,1,0
1,18,0,479,1,1,0
9,67,0,479,1,1,0
22,125,0,246,4,5,0
3,31,0,319,3,3,0
5,116,0,479,1,1,0
3,58,0,762,2,2,0
7,71,0,762,2,2,0
1,1,0,246,1,1,0
1,18,0,246,1,1,0
33,297,1,246,5,8,0
37,238,0,1466,4,5,0
1,53,0,246,1,2,0
35,286,2,230,4,8,1
22,172,1,246,3,5,0
14,131,1,762,3,4,1
4,80,0,1466,3,3,0
3,68,1,1466,4,6,0
22,243,3,1466,9,32,3
1,18,0,11,2,2,0
35,216,1,319,5,9,2
37,419,2,762,9,30,1
1,173,2,479,8,20,0
3,71,0,4735,6,11,0
1,8,0,4735,1,1,0
13,164,0,1466,3,4,0
6,268,0,511,4,7,0
1,13,0,4735,1,2,0
1,13,0,511,1,1,0
13,189,0,511,3,4,0
1,21,0,511,1,1,0
1,6,0,4735,1,2,0
1,4,0,4735,1,1,0
1,5,0,4735,1,1,0
1,4,0,4735,1,1,0
3,58,0,4735,3,9,0
3,43,0,4735,2,5,0
3,43,0,4735,3,7,0
1,297,0,762,7,15,1
1,317,0,479,5,9,1
1,503,0,762,7,21,0
1,12,0,1466,3,3,0
5,319,1,1466,10,27,1
54,406,1,4735,8,27,3
1,5,0,474,1,1,0
1,22,0,474,1,1,0
1,10,0,474,1,1,0
1,12,0,1466,2,2,0
12,119,0,1466,2,3,3
7,41,0,1466,2,3,0
4,26,0,1466,1,1,3
41,259,0,474,3,5,1
8,170,0,31,3,4,0
46,254,0,1466,3,8,0
55,553,6,1466,6,29,4
46,328,4,1466,5,11,2
113,510,3,474,4,13,3
223,1064,6,474,12,44,7
63,376,7,1466,9,45,1
13,184,0,4735,3,12,0
25,167,4,1466,5,21,1
19,180,1,1466,3,11,0
26,254,0,1466,5,17,0
87,498,8,31,10,44,0
2,20,0,4735,1,2,0
48,257,1,762,8,18,0
1,13,0,1466,2,2,0
17,117,0,1466,2,2,0
1,36,0,319,1,1,0
40,272,0,1466,2,2,0
5,60,0,319,1,1,0
55,325,1,31,3,4,1
25,221,1,4735,2,7,0
40,149,1,230,3,6,0
71,422,1,4735,3,9,1
4,38,0,1466,1,1,0
1,14,0,1466,1,1,0
34,263,2,319,4,10,1
53,323,1,1466,4,11,1
56,432,4,1466,3,12,2
8,85,0,1466,3,4,0
2,28,0,4735,2,2,1
13,94,0,1466,2,3,3
6,69,0,319,1,1,0
1,10,0,1466,1,2,0
17,108,1,1466,3,6,0
80,563,2,1466,4,14,2
14,109,0,1466,3,7,1
66,331,0,319,3,8,1
22,133,0,1466,1,2,0
1,11,0,1466,1,1,0
1,6,0,4735,2,2,0
1,31,0,319,4,5,1
5,29,0,1466,2,3,0
1,15,0,1466,2,3,0
79,562,2,4735,7,31,2
1,63,0,762,1,1,0
1,14,1,319,1,1,0
1,70,2,511,5,11,1
6,39,1,4735,2,3,0
23,170,0,511,4,6,2
1,6,0,1466,1,1,0
1,10,0,1466,1,1,0
